Ano,Lixo recolhido por coleta seletiva (t) (CS026),Lixo Recuperado Total (t),Papel e papelão (CS010),Plásticos (CS011),Metais (CS012),Vidro (CS013),Outros (CS014)
2002,..., 6 480, 3 047, 2 460,  821,  152,...
2003, 4 371, 34 750, 20 931, 5 143, 6 433, 2 060,  183
2004, 4 596, 17 241, 7 893, 4 941, 2 479, 1 645,  284
2005, 15 495, 6 597, 2 335, 2 435,  666,  894,  267
2006, 6 093, 3 629, 1 107, 1 602,  420,  245,  255
2007, 6 527, 3 357, 1 114,  847,  510,  181,  705
2008, 10 748, 8 406, 2 618, 4 608,  636,  338,  207
2009, 7 268, 4 032, 1 579, 1 536,  445,  233,  239
2010, 9 452, 7 797, 2 372, 4 162,  719,  309,  235
2011, 8 677, 2 581,  961,  978,  254,  178,  210
2012, 10 111, 2 858, 1 390, 1 046,  326,  78,  19
2013, 12 806, 7 245, 2 157, 1 696,  339, 2 940,  113
2014, 20 431, 1 261,  955,  144,  142,-,  20
2015, 29 806, 2 994, 1 520, 1 225,  220,-,  21
2016, 32 546, 29 145, 11 066, 16 273,  976,  830,-
2017, 47 748, 38 198, 13 751, 19 099, 1 910, 3 438,-
2018, 15 556, 10 889, 2 941, 5 829,  327,  558, 1 233
2019, 17 222, 12 055, 3 256, 6 454,  363,  617, 1 365
2020, 44 048, 40 152, 14 416, 20 359, 1 968, 3 409,-
2021, 48 544, 38 835, 21 049, 6 735, 5 868, 4 900,  283
2022, 59 088, 47 270, 17 854, 22 089, 1 536, 5 791,-